Date,Origin,Destination
7/21/1995,Montpon-Ménestérol,Limoges
7/22/1995,Lac de Vassivière,Lac de Vassivière
7/23/1995,Sainte-Geneviève-des-Bois,Paris
7/2/1994,Lille,Lille
7/3/1994,Lille,Armentières
7/4/1994,Roubaix,Boulogne-sur-Mer
7/5/1994,Calais,Eurotunnel
7/6/1994,Dover, Brighton
7/7/1994,Portsmouth,Portsmouth
7/8/1994,Cherbourg,Rennes
7/9/1994,Rennes,Futuroscope
7/10/1994,Poitiers,Trélissac
7/11/1994,Périgueux,Bergerac
7/12/1994,Bergerac,Cahors
7/13/1994,Cahors,Hautacam
7/15/1994,Lourdes,Luz Ardiden
7/16/1994,Bagnères-de-Bigorre,Albi
7/17/1994,Castres,Montpellier
7/18/1994,Montpellier,Carpentras
7/19/1994,Valréas,Alpe d'Huez
7/20/1994,Le Bourg-d'Oisans,Val Thorens
7/21/1994,Moutiers,Cluses
7/22/1994,Cluses,Avoriaz
7/23/1994,Morzine,Lac Saint-Point
7/24/1994,Disneyland Paris,Paris
7/3/1993,Le Puy du Fou,Le Puy du Fou
7/4/1993,Luçon,Les Sables-d'Olonne
7/5/1993,Les Sables-d'Olonne,Vannes
7/6/1993,Vannes,Dinard
7/7/1993,Dinard,Avranches
7/8/1993,Avranches,Évreux
7/9/1993,Évreux,Amiens
7/10/1993,Péronne,Châlons-sur-Marne
7/11/1993,Châlons-sur-Marne,Verdun
7/12/1993,Lac de Madine,Lac de Madine
7/14/1993,Villard-de-Lans,Serre Chevalier
7/15/1993,Serre Chevalier,Isola 2000
7/16/1993,Isola,Marseille
7/17/1993,Marseille,Montpellier
7/18/1993,Montpellier,Perpignan
7/19/1993,Perpignan,Pal
7/21/1993,Andorra,Saint-Lary-Soulan Pla d'Adet
7/22/1993,Tarbes,Pau
7/23/1993,Orthez,Bordeaux
7/24/1993,Brétigny-sur-Orge,Montlhéry
7/25/1993,Viry-Châtillon,Paris
7/4/1992,San Sebastián,San Sebastián
7/5/1992,San Sebastián,San Sebastián
7/6/1992,San Sebastián,Pau
7/7/1992,Pau,Bordeaux
7/8/1992,Libourne,Libourne
7/9/1992,Nogent-sur-Oise,Wasquehal
7/10/1992,Roubaix,Brussels
7/11/1992,Brussels,Valkenburg
7/12/1992,Valkenburg,Koblenz
7/13/1992,Luxembourg City,Luxembourg City
7/14/1992,Luxembourg City,Strasbourg
7/15/1992,Strasbourg,Mulhouse
7/16/1992,Dole,St Gervais
7/18/1992,St Gervais,Sestriere
7/19/1992,Sestriere,Alpe d'Huez
7/20/1992,Le Bourg-d'Oisans,Saint-Étienne
7/21/1992,Saint-Étienne,La Bourboule
7/22/1992,La Bourboule,Montluçon
7/23/1992,Montluçon,Tours
7/24/1992,Tours,Blois
7/25/1992,Blois,Nanterre
7/26/1992,La Défense,Paris
7/6/1991,Lyon,Lyon
7/7/1991,Lyon,Lyon
7/7/1991,Bron,Chassieu
7/8/1991,Villeurbanne,Dijon
7/9/1991,Dijon,Reims
7/10/1991,Reims,Valenciennes
7/11/1991,Arras,Le Havre
7/12/1991,Le Havre,Argentan
7/13/1991,Argentan,Alençon
7/14/1991,Alençon,Rennes
7/15/1991,Rennes,Quimper
7/16/1991,Quimper,Saint-Herblain
7/18/1991,Pau,Jaca
7/19/1991,Jaca,Val-Louron
7/20/1991,St Gaudens,Castres
7/21/1991,Albi,Ales
7/22/1991,Alès,Gap
7/23/1991,Gap,Alpe d'Huez
7/24/1991,Le Bourg-d'Oisans,Morzine
7/25/1991,Morzine,Aix-les-Bains
7/26/1991,Aix-les-Bains,Mâcon
7/27/1991,Lugny,Mâcon
7/28/1991,Melun,Paris
6/30/1990,Futuroscope,Futuroscope
7/1/1990,Futuroscope,Futuroscope
7/1/1990,Futuroscope,Futuroscope
7/2/1990,Poitiers,Nantes
7/3/1990,Nantes,Mont Saint-Michel
7/4/1990,Avranches,Rouen
7/6/1990,Sarrebourg,Vittel
7/7/1990,Vittel,Épinal
7/8/1990,Épinal,Besançon
7/9/1990,Besançon,Geneva
7/10/1990,Geneva,Saint-Gervais
7/11/1990,Saint-Gervais,Alpe d'Huez
7/12/1990,Fontaine,Villard-de-Lans
7/14/1990,Villard-de-Lans,Saint-Étienne
7/15/1990,Le Puy-en-Velay,Millau
7/16/1990,Millau,Revel
7/17/1990,Blagnac,Luz Ardiden
7/18/1990,Lourdes,Pau
7/19/1990,Pau,Bordeaux
7/20/1990,Castillon-la-Bataille,Limoges
7/21/1990,Lac de Vassivière,Lac de Vassivière
7/22/1990,Brétigny-sur-Orge,Paris
7/1/1989,Luxembourg City,Luxembourg City
7/2/1989,Luxembourg City,Luxembourg City
7/2/1989,Luxembourg City,Luxembourg City
7/3/1989,Luxembourg City,Spa
7/4/1989,Liège,Wasquehal
7/6/1989,Dinard,Rennes
7/7/1989,Rennes,Futuroscope
7/8/1989,Poitiers,Bordeaux
7/9/1989,Labastide-d'Armagnac,Pau
7/10/1989,Pau,Cauterets
7/11/1989,Cauterets,Superbagnères
7/12/1989,Luchon,Blagnac
7/13/1989,Toulouse,Montpellier
7/14/1989,Montpellier,Marseille
7/15/1989,Marseille,Gap
7/16/1989,Gap,Orcières-Merlette
7/18/1989,Gap,Briançon
7/19/1989,Briançon,Alpe d'Huez
7/20/1989,Le Bourg-d'Oisans,Villard-de-Lans
7/21/1989,Villard-de-Lans,Aix-les-Bains
7/22/1989,Aix-les-Bains,L'Isle-d'Abeau
7/23/1989,Versailles,Paris
7/3/1988,Pornichet,La Baule
7/4/1988,Pontchâteau,Machecoul
7/4/1988,La Haie-Fouassière,Ancenis
7/5/1988,Nantes,Le Mans
7/6/1988,Le Mans,Évreux
7/7/1988,Neufchâtel-en-Bray,Liévin
7/8/1988,Liévin,Wasquehal
7/9/1988,Wasquehal,Reims
7/10/1988,Reims,Nancy
7/11/1988,Nancy,Strasbourg
7/12/1988,Belfort,Besançon
7/13/1988,Besançon,Morzine
7/14/1988,Morzine,Alpe d'Huez
7/15/1988,Grenoble,Villard-de-Lans
7/17/1988,Blagnac,Guzet-Neige
7/18/1988,Saint-Girons,Luz Ardiden
7/19/1988,Luz Ardiden,Pau
7/19/1988,Pau,Bordeaux
7/20/1988,Ruelle-sur-Touvre,Limoges
7/21/1988,Limoges,Puy de Dôme
7/22/1988,Clermont-Ferrand,Chalon-sur-Saône
7/23/1988,Santenay,Santenay
7/24/1988,Nemours,Paris
7/1/1987,West Berlin,West Berlin
7/2/1987,West Berlin,West Berlin
7/2/1987,West Berlin,West Berlin
7/4/1987,Karlsruhe,Stuttgart
7/5/1987,Stuttgart,Pforzheim
7/5/1987,Pforzheim,Strasbourg
7/6/1987,Strasbourg,Épinal
7/7/1987,Épinal,Troyes
7/8/1987,Troyes,Épinay-sous-Sénart
7/9/1987,Orléans,Renazé
7/10/1987,Saumur,Futuroscope
7/11/1987,Poitiers,Chaumeil
7/12/1987,Brive,Bordeaux
7/13/1987,Bayonne,Pau
7/14/1987,Pau,Luz Ardiden
7/15/1987,Tarbes,Blagnac
7/16/1987,Blagnac,Millau
7/17/1987,Millau,Avignon
7/19/1987,Carpentras,Mont Ventoux
7/20/1987,Valréas,Villard-de-Lans
7/21/1987,Villard-de-Lans,Alpe d'Huez
7/22/1987,Le Bourg-d'Oisans,La Plagne
7/23/1987,La Plagne,Morzine
